
§¿ö¿date;meanTa;precip;glob
2019.11.20;9.32;3.5;11.42
2019.11.21;11.78;0.4;56.53
2019.11.22;8.43;0;70.36
2019.11.23;5.33;0;90.87
2019.11.24;5.23;0;87.78
2019.11.25;3.51;0;50.86
2019.11.26;5.7;0;46.58
2019.11.27;5.28;4.4;31.13
2019.11.28;9.55;4;23.96
2019.11.29;8.4;0.9;64.68
2019.11.30;2.73;0;84.99
2019.12.01;-0.98;0;82.18
2019.12.02;0.79;14.4;14.53
2019.12.03;0.35;0;74.41
2019.12.04;-1.02;0;11.49
2019.12.05;-1.4;0;18.26
2019.12.06;-0.36;0;12.04
2019.12.07;1.86;0;22.25
2019.12.08;2.62;0;43.56
2019.12.09;3.78;0.2;24.57
2019.12.10;5.16;1;17.33
2019.12.11;1.93;0;76.08
2019.12.12;3.37;3.2;5.93
2019.12.13;3.61;2.7;33.55
2019.12.14;4.35;2.5;28.2
2019.12.15;5.83;0;61.82
2019.12.16;10.77;0;60.63
2019.12.17;12.49;0;59.43
2019.12.18;12.03;0;67.85
2019.12.19;6.44;0;47.75
2019.12.20;7.88;0;64.73
2019.12.21;11.65;9.5;21.89
2019.12.22;8.66;9.8;25.21
2019.12.23;6.81;5.8;10.23
2019.12.24;6.63;0.2;60.47
2019.12.25;6.32;1.7;30.57
2019.12.26;4.25;0;52.32
2019.12.27;2.45;0;41.67
2019.12.28;1.81;0;50.57
2019.12.29;-1.73;0;50.05
2019.12.30;-3.34;0;82.41
2019.12.31;-0.09;0;48.63
2020.01.01;0.07;0;74.92
2020.01.02;-1.42;0;77.9
2020.01.03;-2.55;0;13.58
2020.01.04;0.49;0;29.48
2020.01.05;2.07;0;81.1
2020.01.06;-2.76;0;79.92
2020.01.07;-4.49;0;78.97
2020.01.08;-4.7;0;79.73
2020.01.09;-0.24;0;37.79
2020.01.10;-1.22;0;77.91
2020.01.11;0.61;0;83.6
2020.01.12;-1.74;0;86.22
2020.01.13;-2.77;0;17.19
2020.01.14;-2.16;0;15.52
2020.01.15;-2.21;0;19.65
2020.01.16;-1.67;0;10.39
2020.01.17;-2.3;0;15.35
2020.01.18;-1.4;0.2;19.79
2020.01.19;-0.63;0.3;7
2020.01.20;0.12;0;25.06
2020.01.21;-0.61;0;27.91
2020.01.22;-1.24;0;75.53
2020.01.23;-2;0;100.87
2020.01.24;-3.67;0;33.13
2020.01.25;-1.67;0;14.24
2020.01.26;-0.62;0;28.21
2020.01.27;0.1;0;22.51
2020.01.28;3.66;13.7;28.93
2020.01.29;1.92;1;39.11
2020.01.30;3.59;1.3;73.24
2020.01.31;7.82;0.4;38.75
2020.02.01;10.97;0;108.46
2020.02.02;11.85;1.3;110.43
2020.02.03;10.02;0.1;55.04
2020.02.04;6.82;4.7;13.71
2020.02.05;4.3;0;85.25
2020.02.06;1.1;0;117.21
2020.02.07;4.3;0;100.42
2020.02.08;-0.98;0;125.49
2020.02.09;2.17;0;125.5
2020.02.10;8.68;5.8;52.02
2020.02.11;6.8;4.6;100.2
2020.02.12;4.79;0;115.91
2020.02.13;5.23;0;123.23
2020.02.14;7.01;4.9;66.96
2020.02.15;3.87;0;112.9
2020.02.16;4.29;0;133.82
2020.02.17;7.03;0;119.4
2020.02.18;6.49;0;83.62
2020.02.19;5.21;0.1;123.58
2020.02.20;3.71;0;118.67
2020.02.21;3.57;0.1;49.7
